blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,redWardsPlaced,redWardsDestroyed,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalMinionsKilled,redTotalJungleMinionsKilled
0,14,3,0,4,6,4,0,0,0,0,14805,6.6,209,43,-1506,-412,17,3,7,1,1,0,0,16311,7,231,44
0,13,5,0,6,7,2,0,0,0,0,15244,6.6,199,52,-1101,-718,17,4,5,2,1,1,0,16345,7,212,40
0,18,4,0,8,3,7,1,0,1,0,17574,7.2,252,44,2774,2207,15,4,2,1,1,0,0,14800,6.6,225,47
0,12,5,0,6,4,8,1,1,0,0,16855,7,248,44,1265,1248,16,5,4,1,0,1,0,15590,6.8,207,52
1,17,3,0,6,14,4,0,0,0,0,15786,6.6,200,46,-4443,-4140,16,3,9,1,1,0,0,20229,7.6,227,66
0,19,3,0,3,5,1,0,0,0,0,15143,7.2,233,59,-927,967,16,4,7,1,1,0,0,16070,7,216,48
1,12,3,1,9,5,9,0,0,0,0,17309,7,221,36,1425,728,14,2,3,2,1,1,0,15884,6.8,208,44
1,14,3,0,6,4,6,1,1,0,0,16416,7.4,211,60,1177,1161,14,0,2,0,0,0,0,15239,7,204,71
1,19,2,1,2,7,2,1,1,0,0,15222,7,231,64,-1586,410,17,5,14,1,0,1,0,16808,6.8,211,64
0,16,2,0,5,10,3,2,1,1,0,15526,6.8,232,44,-2896,-2081,15,2,6,0,0,0,0,18422,7.4,236,76
1,32,2,1,12,6,12,1,1,0,0,19058,7.2,202,47,3413,2984,16,2,7,0,0,0,0,15645,6.6,210,39
0,16,2,1,7,9,5,2,1,1,0,16806,7,228,48,-256,-1580,34,2,7,0,0,0,0,17062,7.4,230,52
1,19,5,1,7,10,7,0,0,0,0,16643,6.8,227,44,-1820,-1412,17,7,11,0,0,0,0,18463,7.2,231,45
0,12,2,0,2,6,1,0,0,0,0,14095,6.8,196,60,-3628,-2009,14,2,4,1,1,0,0,17723,7,266,60
0,30,6,1,5,5,7,1,0,1,0,16804,6.8,217,67,769,480,16,4,6,1,1,0,0,16035,6.4,233,54
0,18,5,0,8,8,8,1,1,0,0,17305,7,229,43,-576,-682,18,3,6,1,0,1,0,17881,7,198,66
1,14,2,0,9,8,10,1,1,0,0,17530,7,192,43,-7,-231,19,2,8,1,0,1,0,17537,7.2,209,60
1,13,6,1,10,7,10,0,0,0,0,18431,7.2,207,44,1683,1433,14,3,5,1,1,0,0,16748,7,231,56
0,16,4,0,3,10,2,0,0,0,0,14032,6.8,193,40,-4782,-3408,17,8,11,1,1,0,0,18814,7.4,245,51
1,38,3,1,9,7,11,1,1,0,0,17869,7,205,40,636,-214,14,1,9,0,0,0,0,17233,6.8,215,48
1,40,1,0,7,14,6,1,1,0,0,15974,6.2,183,37,-3421,-2624,13,4,12,0,0,0,0,19395,7.2,219,49
1,18,5,0,5,3,6,1,1,0,0,16108,7.2,240,61,976,1599,39,3,5,0,0,0,0,15132,6.8,230,42
0,40,3,0,6,7,6,0,0,0,0,16302,6.8,212,52,-211,-1305,17,4,7,1,0,1,0,16513,7.2,211,46
1,17,5,0,7,1,8,0,0,0,0,16506,7.2,226,36,2037,1291,35,3,0,1,1,0,0,14469,6.6,217,80
1,15,5,1,6,3,11,1,1,0,0,16389,7,241,36,817,-94,38,2,3,0,0,0,0,15572,6.8,229,58
1,18,2,1,4,4,4,0,0,0,0,15760,7,215,48,-137,-351,15,1,1,1,1,0,0,15897,7,227,72
1,43,6,1,4,7,4,1,1,0,0,15176,6.4,226,33,-1539,-1497,23,9,12,0,0,0,0,16715,7.2,205,52
0,13,5,0,5,7,4,0,0,0,0,15196,6.4,191,48,-1707,-1286,62,3,10,1,1,0,0,16903,7,216,51
1,20,1,1,9,7,15,1,1,0,0,16541,6.6,199,37,-146,-717,12,3,8,1,0,1,0,16687,6.8,225,44
1,15,1,1,12,4,9,1,0,1,0,18657,7.2,227,37,4083,2884,15,2,1,1,1,0,0,14574,6.6,191,52
1,17,1,0,5,5,6,0,0,0,0,16873,7.2,223,64,1389,1418,38,2,7,1,1,0,0,15484,6.8,226,49
0,28,4,0,3,4,3,1,1,0,0,14383,6.4,211,55,-890,-528,16,2,5,1,0,1,0,15273,6.4,208,44
1,15,3,1,7,6,7,0,0,0,0,17406,7.2,251,64,1140,705,17,1,4,2,1,1,0,16266,7.2,190,56
0,15,4,1,5,7,2,0,0,0,0,15210,6.4,172,40,-1656,-1832,13,5,3,0,0,0,0,16866,6.8,219,51
1,23,3,0,10,5,16,0,0,0,0,17272,6.4,192,40,2171,-261,37,2,6,2,1,1,0,15101,6.6,199,40
1,18,1,1,12,4,15,0,0,0,0,19358,7.2,206,60,3841,2484,14,2,3,0,0,0,0,15517,6.8,216,56
0,16,2,0,3,8,4,2,1,1,0,15209,6.6,191,60,-2752,-2286,17,4,9,0,0,0,0,17961,7.2,241,52
0,15,5,1,4,3,4,0,0,0,0,15267,6.6,232,53,453,-19,16,2,3,0,0,0,0,14814,6.8,209,51
0,15,2,1,3,1,3,1,1,0,0,15243,6.6,224,56,830,-1002,40,4,1,1,0,1,0,14413,6.8,220,56
0,21,2,0,8,8,3,0,0,0,0,16214,6.8,203,48,94,-445,17,4,6,0,0,0,0,16120,7,168,48
0,70,2,0,8,6,12,2,1,1,0,15976,7,178,56,-722,891,13,1,6,0,0,0,0,16698,6.6,232,39
0,18,1,0,6,7,10,1,0,1,0,16557,6.8,230,47,-1491,-799,38,5,11,1,1,0,0,18048,7,222,53
0,10,1,0,6,14,3,0,0,0,0,16142,6.8,198,59,-3109,-1745,13,1,16,2,1,1,0,19251,7,201,37
0,15,4,1,7,11,9,0,0,0,0,17984,7.2,230,56,537,-477,16,4,11,1,1,0,0,17447,7.2,178,51
1,15,9,0,13,5,10,2,1,1,0,20038,7.8,222,71,4079,5568,39,1,6,0,0,0,0,15959,6.6,208,40
0,18,2,1,3,10,4,0,0,0,0,14557,6.4,200,48,-3582,-5395,16,0,10,2,1,1,0,18139,7.6,246,63
1,16,4,0,6,6,5,0,0,0,0,16029,7,205,56,-355,233,19,3,5,1,1,0,0,16384,7,224,48
1,16,2,1,9,5,9,1,1,0,0,18098,7,225,60,2217,2183,12,1,3,1,0,1,0,15881,6.6,229,32
1,13,1,1,8,3,9,2,1,1,0,18343,7.2,235,59,3049,1511,13,3,2,0,0,0,0,15294,7,234,54
1,13,2,0,5,6,4,1,1,0,0,15596,7,198,44,-305,-474,25,2,7,0,0,0,0,15901,7,199,40
0,54,3,0,4,2,6,1,1,0,0,15812,7,229,53,1325,479,15,3,1,1,0,1,0,14487,7,218,54
1,17,2,1,6,6,10,0,0,0,0,15947,6.4,221,44,-53,87,14,4,9,1,1,0,0,16000,6.4,203,52
0,35,1,0,5,9,5,0,0,0,0,14997,6.6,196,40,-2865,-1441,16,4,7,1,1,0,0,17862,6.8,237,32
0,10,1,1,7,7,5,0,0,0,0,16463,6.8,215,42,-93,-561,33,0,8,1,1,0,0,16556,7,217,40
0,19,5,1,6,7,7,0,0,0,0,16072,6.6,225,46,-420,-1185,15,3,10,1,1,0,0,16492,7.2,212,50
1,22,6,1,7,3,6,1,1,0,0,19140,7.4,253,64,5008,2355,60,6,3,1,0,1,0,14132,6.8,179,45
0,19,2,1,4,6,1,0,0,0,0,14547,6.4,188,53,-2074,-1795,19,3,5,2,1,1,0,16621,6.8,196,56
1,14,5,0,5,4,7,1,0,1,0,15644,6.8,188,63,-3,1013,20,3,7,0,0,0,0,15647,6.6,190,48
0,15,2,1,5,5,5,0,0,0,0,15734,7,213,47,-837,-660,21,3,7,2,1,1,0,16571,7,249,47
1,38,2,1,5,5,6,1,1,0,0,16794,6.8,229,39,510,-747,37,4,6,1,0,1,0,16284,7.2,216,55
0,16,3,0,6,11,8,1,1,0,0,15930,6.8,200,43,-3549,-2407,14,4,12,0,0,0,0,19479,7.4,214,60
1,17,4,0,6,6,6,0,0,0,0,16936,7.2,240,56,272,359,56,2,7,1,1,0,0,16664,6.8,199,68
1,18,2,1,9,5,9,0,0,0,0,17941,7.2,230,51,2187,2189,45,3,5,0,0,0,0,15754,7,206,52
1,14,3,1,5,4,3,1,1,0,0,15943,7.4,238,64,63,648,16,1,5,0,0,0,0,15880,7,210,64
1,17,0,0,4,8,6,1,0,1,0,15891,7,222,68,-2132,-484,15,2,13,1,1,0,0,18023,7,230,47
0,12,4,0,5,6,5,1,0,1,0,16216,7,211,71,-976,-964,15,2,8,1,1,0,0,17192,7.6,222,69
1,16,1,1,8,2,5,1,1,0,0,16909,7.2,229,40,2304,2532,14,3,2,0,0,0,0,14605,6.2,208,44
0,22,7,1,6,7,7,0,0,0,0,15952,6.8,180,45,-2049,-2340,46,6,9,0,0,0,0,18001,7.2,243,46
0,16,4,0,1,5,2,0,0,0,0,13286,6.2,187,48,-4179,-3823,20,4,4,1,1,0,0,17465,7,236,67
0,17,7,0,6,6,9,0,0,0,0,16812,7.2,269,40,-66,-1073,19,5,3,1,1,0,0,16878,7,245,56
1,16,3,0,9,7,13,2,1,1,0,17906,6.8,178,60,510,142,14,1,4,0,0,0,0,17396,6.8,215,56
0,15,3,1,4,3,2,1,0,1,0,16408,7.2,263,53,2591,1567,15,2,1,1,1,0,0,13817,6.8,208,35
0,25,1,1,6,6,11,1,1,0,0,17831,6.8,240,43,965,-878,17,2,7,0,0,0,0,16866,7,233,51
0,11,1,0,1,5,1,0,0,0,0,13738,6.6,223,34,-3468,-2158,14,2,7,2,1,1,0,17206,7.4,259,70
1,25,5,1,14,3,15,0,0,0,0,20317,7.4,212,54,6153,3916,13,4,4,0,0,0,0,14164,6.4,196,45
0,15,0,0,0,5,0,0,0,0,0,14091,6.4,233,60,-2216,-2730,56,2,8,1,1,0,0,16307,7,229,60
0,17,4,0,6,11,4,1,1,0,0,16036,6.6,191,39,-2308,-1767,19,6,14,0,0,0,0,18344,7.2,206,28
1,17,4,1,6,6,5,1,0,1,0,17052,6.6,210,54,1917,-179,14,2,3,1,1,0,0,15135,7,194,51
1,18,1,1,10,5,8,1,1,0,0,18297,7.2,242,48,2709,1259,13,0,7,0,0,0,0,15588,6.8,214,60
0,17,5,0,6,8,5,0,0,0,0,15748,6.6,222,36,-1304,-552,40,6,12,1,1,0,0,17052,6.8,216,46
1,42,4,1,8,5,10,1,1,0,0,17886,7.4,229,59,1824,1409,14,1,5,0,0,0,0,16062,7.2,222,60
0,17,7,0,11,8,15,0,0,0,0,17069,6.6,174,38,229,-45,17,5,9,2,1,1,0,16840,6.8,212,44
1,15,2,0,4,4,4,1,0,1,0,16631,7.2,252,57,1507,1667,29,2,1,0,0,0,0,15124,7,214,56
0,12,3,0,1,5,3,1,1,0,0,14766,7,231,65,-1787,-1135,17,3,4,0,0,0,0,16553,7,235,61
0,14,2,0,8,7,3,0,0,0,0,17113,7.2,234,49,815,1397,15,2,4,0,0,0,0,16298,6.8,182,52
0,13,2,0,5,14,6,1,1,0,0,15120,6.6,167,48,-4767,-5061,15,1,9,0,0,0,0,19887,7.8,238,44
0,13,3,0,4,6,6,0,0,0,0,15339,6.6,221,43,-1861,-2532,15,4,10,1,1,0,0,17200,7,262,64
1,20,1,0,4,9,3,0,0,0,0,15582,6.8,212,56,-2058,-2051,12,6,11,0,0,0,0,17640,7.2,224,54
1,16,3,0,5,5,7,1,1,0,0,15441,6.6,201,52,-575,-208,18,1,3,0,0,0,0,16016,6.8,213,64
0,12,2,1,4,2,2,1,0,1,0,16002,7.2,245,61,1765,701,15,0,1,0,0,0,0,14237,6.8,212,58
0,13,5,1,5,5,8,1,0,1,0,16009,6.8,220,40,540,269,15,2,8,1,1,0,0,15469,6.8,185,54
1,16,3,0,12,9,15,0,0,0,0,18106,6.6,186,48,862,-442,17,4,11,1,1,0,0,17244,6.8,204,48
1,35,3,1,6,2,9,1,1,0,0,16501,6.6,221,44,2761,1659,15,1,1,0,0,0,0,13740,6.6,201,40
1,35,2,0,5,5,3,0,0,0,0,16195,7,244,60,-75,655,17,4,5,1,1,0,0,16270,7,217,52
0,22,4,0,5,7,3,1,0,1,0,15475,7,198,59,-810,-305,13,5,11,1,1,0,0,16285,7,212,52
1,18,1,1,3,7,2,0,0,0,0,15065,6.6,231,50,-2595,-2856,17,8,6,1,0,1,0,17660,7.4,260,51
1,22,5,0,1,2,3,0,0,0,0,14359,6.8,228,55,-334,-73,16,1,1,1,1,0,0,14693,6.6,223,48
0,34,3,0,2,7,2,0,0,0,0,14135,6.8,220,37,-2711,-2547,13,2,7,0,0,0,0,16846,7.2,230,58
1,24,1,1,8,4,8,0,0,0,0,17448,6.8,242,48,2551,1754,17,1,7,0,0,0,0,14897,6.6,195,46
0,16,3,0,10,5,13,1,1,0,0,18287,7.2,213,52,2242,727,36,1,3,0,0,0,0,16045,6.8,225,47
0,13,2,0,2,5,2,1,0,1,0,15534,7,252,51,-893,-213,13,4,8,0,0,0,0,16427,7,231,44
0,33,1,0,2,5,2,0,0,0,0,14935,7,230,56,-1208,-152,17,1,8,1,1,0,0,16143,7,248,43
1,13,3,0,12,4,11,0,0,0,0,19331,7.2,255,50,4003,2566,17,1,5,1,1,0,0,15328,6.8,215,50
1,17,3,0,8,6,7,1,1,0,0,17131,7.4,240,43,819,2149,13,5,9,0,0,0,0,16312,7,206,52
0,16,2,0,5,6,5,1,1,0,0,16842,7,221,58,-259,-1001,16,4,6,0,0,0,0,17101,7.4,247,64
0,22,2,1,9,6,13,0,0,0,0,17569,6.8,212,40,1728,-738,11,2,7,0,0,0,0,15841,7,180,56
0,15,5,0,5,5,3,1,0,1,0,15882,6.8,241,48,474,393,15,2,6,1,1,0,0,15408,6.4,207,36
0,19,2,1,9,3,8,0,0,0,0,17049,6.8,202,41,1863,328,17,2,5,0,0,0,0,15186,6.8,204,58
0,40,4,0,1,7,1,0,0,0,0,13556,6.8,200,48,-3846,-2306,17,5,7,1,1,0,0,17402,7.2,253,52
0,13,1,0,1,3,1,0,0,0,0,14692,7,227,47,-2373,-1592,17,1,5,1,1,0,0,17065,7.2,250,76
1,15,2,0,8,7,10,1,1,0,0,17000,6.6,204,49,218,-204,14,5,5,0,0,0,0,16782,6.8,209,55
1,31,2,1,6,4,7,0,0,0,0,17200,7.2,235,59,2208,1929,20,1,5,0,0,0,0,14992,6.6,215,40
0,44,2,0,5,7,2,1,1,0,0,15409,7.2,217,64,-1440,-373,17,4,9,0,0,0,0,16849,7.2,241,52
0,27,2,0,10,12,13,1,1,0,0,17283,6.4,184,36,-845,-1743,14,5,7,0,0,0,0,18128,6.8,208,68
1,54,4,0,6,1,8,2,1,1,0,16763,7,224,51,2817,2414,37,3,1,0,0,0,0,13946,6.4,207,56
1,13,3,0,9,5,4,2,1,1,0,18434,7.4,223,70,2812,2497,16,2,3,0,0,0,0,15622,7.2,226,55
0,17,3,0,1,6,2,0,0,0,0,13731,6.6,218,44,-3864,-2759,24,4,10,1,1,0,0,17595,7.2,263,48
1,14,2,0,5,6,6,1,1,0,0,17251,7.4,233,76,334,955,16,2,5,0,0,0,0,16917,7,230,60
1,12,2,1,7,6,5,1,1,0,0,17051,7,246,44,1909,2436,16,0,8,0,0,0,0,15142,6.4,196,40
0,14,1,1,7,7,6,0,0,0,0,16346,7,209,44,-346,-358,33,1,7,0,0,0,0,16692,7.2,182,67
1,24,3,1,14,4,14,0,0,0,0,21095,7.6,249,67,5802,5396,13,5,5,1,1,0,0,15293,6.2,186,44
1,14,1,1,6,4,3,1,1,0,0,16434,7,228,47,1085,1048,12,2,2,0,0,0,0,15349,6.6,220,48
0,36,2,1,4,11,2,1,1,0,0,15834,6.8,197,56,-2383,-1807,16,1,7,0,0,0,0,18217,7.4,182,59
1,40,7,0,8,9,9,1,0,1,0,16968,7,214,45,306,1895,25,4,10,0,0,0,0,16662,6.6,208,33
0,19,2,1,5,7,7,0,0,0,0,15949,6.8,209,51,-1568,-1850,19,5,8,1,1,0,0,17517,7.2,215,71
1,17,3,0,5,7,3,1,1,0,0,16056,6.8,234,56,-1419,-1156,39,2,13,1,0,1,0,17475,7,227,52
1,27,5,1,10,6,8,1,0,1,0,18392,6.8,222,52,2263,1634,18,1,5,1,1,0,0,16129,6.4,213,60
1,17,4,1,6,2,9,0,0,0,0,16415,7.2,230,43,1374,1225,17,4,2,1,1,0,0,15041,6.8,217,51
